\\ Branch Data
\\Index, Label, Type, Phases, From, To, Length (ft)
1, ol_24, LINE, ABCN, 1, 2, 191.976
2, fuse_8, FUSE, CN, 2, 3, N/A
3, ol_23, LINE, ABCN, 2, 4, 579.600
4, ol_21, LINE, CN, 3, 5, 56.847
5, ol_20, LINE, ABCN, 4, 6, 192.458
6, switch_7, SWITCH, ABCN, 4, 7, N/A
7, ol_22, LINE, CN, 5, 8, 311.070
8, fuse_5, FUSE, ABCN, 6, 9, N/A
9, ol_17, LINE, ABCN, 6, 10, 269.008
10, xfmr_102, XFRMR, AS, 6, 11, N/A
11, xfmr_103, XFRMR, BS, 6, 12, N/A
12, xfmr_104, XFRMR, CS, 6, 13, N/A
13, ul_113, LINE, ABCN, 7, 14, 444.519
14, xfmr_105, XFRMR, CS, 8, 15, N/A
15, ol_1, LINE, ABCN, 9, 16, 76.990
16, ol_106, LINE, ABCN, 9, 17, 253.200
17, xfmr_95, XFRMR, AS, 9, 18, N/A
18, xfmr_96, XFRMR, BS, 9, 19, N/A
19, xfmr_97, XFRMR, CS, 9, 20, N/A
20, fuse_3, FUSE, ABCN, 10, 21, N/A
21, ol_16, LINE, ABCN, 10, 22, 195.668
22, xfmr_89, XFRMR, AS, 10, 23, N/A
23, xfmr_90, XFRMR, BS, 10, 24, N/A
24, xfmr_91, XFRMR, CS, 10, 25, N/A
25, tl_102, TRIL, AS, 11, 26, 30
26, tl_103, TRIL, BS, 12, 27, 30
27, tl_104, TRIL, CS, 13, 28, 30
28, switch_8, SWITCH, ABCN, 14, 29, N/A
29, tl_105, TRIL, CS, 15, 30, 30
30, ol_105, LINE, ABCN, 16, 31, 168.600
31, ol_19, LINE, ABCN, 17, 32, 979.222
32, xfmr_357, XFRMR, AS, 17, 33, N/A
33, xfmr_358, XFRMR, BS, 17, 34, N/A
34, xfmr_359, XFRMR, CS, 17, 35, N/A
35, tl_95, TRIL, AS, 18, 36, 30
36, tl_96, TRIL, BS, 19, 37, 30
37, tl_97, TRIL, CS, 20, 38, 30
38, xfmr_69, XFRMR, AS, 21, 39, N/A
39, xfmr_70, XFRMR, BS, 21, 40, N/A
40, xfmr_71, XFRMR, CS, 21, 41, N/A
41, fuse_7, FUSE, ABCN, 22, 42, N/A
42, ol_15, LINE, ABCN, 22, 43, 179.512
43, tl_89, TRIL, AS, 23, 44, 30
44, tl_90, TRIL, BS, 24, 45, 30
45, tl_91, TRIL, CS, 25, 46, 30
46, fuse_23, FUSE, CN, 31, 47, N/A
47, ol_18, LINE, ABCN, 31, 48, 234.300
48, xfmr_354, XFRMR, AS, 31, 49, N/A
49, xfmr_355, XFRMR, BS, 31, 50, N/A
50, xfmr_356, XFRMR, CS, 31, 51, N/A
51, fuse_24, FUSE, ACN, 32, 52, N/A
52, ol_42, LINE, ABCN, 32, 53, 949.397
53, xfmr_98, XFRMR, AS, 32, 54, N/A
54, xfmr_99, XFRMR, BS, 32, 55, N/A
55, xfmr_100, XFRMR, CS, 32, 56, N/A
56, tl_357, TRIL, AS, 33, 57, 30
57, tl_358, TRIL, BS, 34, 58, 30
58, tl_359, TRIL, CS, 35, 59, 30
59, tl_69, TRIL, AS, 39, 60, 30
60, tl_70, TRIL, BS, 40, 61, 30
61, tl_71, TRIL, CS, 41, 62, 30
62, ul_110, LINE, CN, 42, 63, 389.665
63, ol_14, LINE, ABCN, 43, 64, 206.681
64, ul_231, LINE, CN, 47, 65, 60.223
65, fuse_9, FUSE, ABCN, 48, 66, N/A
66, fuse_10, FUSE, CN, 48, 67, N/A
67, tl_354, TRIL, AS, 49, 68, 30
68, tl_355, TRIL, BS, 50, 69, 30
69, tl_356, TRIL, CS, 51, 70, 30
70, ul_237, LINE, ACN, 52, 71, 143.000
71, fuse_28, FUSE, CN, 53, 72, N/A
72, ol_41, LINE, ABCN, 53, 73, 322.031
73, tl_98, TRIL, AS, 54, 74, 30
74, tl_99, TRIL, BS, 55, 75, 30
75, tl_100, TRIL, CS, 56, 76, 30
76, xfmr_88, XFRMR, CS, 63, 77, N/A
77, fuse_6, FUSE, ABCN, 64, 78, N/A
78, ol_13, LINE, ABCN, 64, 79, 202.304
79, xfmr_225, XFRMR, CS, 65, 80, N/A
80, ul_111, LINE, ABCN, 66, 81, 356.100
81, ul_114, LINE, CN, 67, 82, 274.600
82, ul_234, LINE, CN, 71, 83, 236.567
83, ul_236, LINE, CN, 71, 84, 204.778
84, ul_255, LINE, CN, 72, 85, 137.806
85, ul_256, LINE, CN, 72, 86, 360.102
86, ol_40, LINE, ABCN, 73, 87, 327.390
87, xfmr_489, XFRMR, ABCN, 73, 88, N/A
88, tl_88, TRIL, CS, 77, 89, 30
89, ol_12, LINE, ABCN, 79, 90, 183.993
90, xfmr_85, XFRMR, AS, 79, 91, N/A
91, xfmr_86, XFRMR, BS, 79, 92, N/A
92, xfmr_87, XFRMR, CS, 79, 93, N/A
93, tl_225, TRIL, CS, 80, 94, 30
94, xfmr_92, XFRMR, AS, 81, 95, N/A
95, xfmr_93, XFRMR, BS, 81, 96, N/A
96, xfmr_94, XFRMR, CS, 81, 97, N/A
97, ul_18, LINE, ABCN, 81, 98, 353.500
98, xfmr_106, XFRMR, CS, 82, 99, N/A
99, xfmr_228, XFRMR, CS, 83, 100, N/A
100, ul_235, LINE, CN, 83, 101, 255.497
101, xfmr_236, XFRMR, CS, 84, 102, N/A
102, ul_112, LINE, CN, 84, 103, 270.647
103, xfmr_247, XFRMR, CS, 85, 104, N/A
104, xfmr_248, XFRMR, CS, 86, 105, N/A
105, ul_257, LINE, CN, 86, 106, 265.031
106, fuse_27, FUSE, CN, 87, 107, N/A
107, ol_39, LINE, ABCN, 87, 108, 297.336
108, xfmr_488, XFRMR, ABCN, 87, 109, N/A
109, load_4_ohl, LINE, ABCN, 88, 110, 50ft
110, ol_11, LINE, ABCN, 90, 111, 177.660
111, tl_85, TRIL, AS, 91, 112, 30
112, tl_86, TRIL, BS, 92, 113, 30
113, tl_87, TRIL, CS, 93, 114, 30
114, tl_92, TRIL, AS, 95, 115, 30
115, tl_93, TRIL, BS, 96, 116, 30
116, tl_94, TRIL, CS, 97, 117, 30
117, ol_7, LINE, ABCN, 98, 118, 321.700
118, tl_106, TRIL, CS, 99, 119, 30
119, tl_228, TRIL, CS, 100, 120, 30
120, xfmr_229, XFRMR, CS, 101, 121, N/A
121, tl_236, TRIL, CS, 102, 122, 30
122, xfmr_101, XFRMR, CS, 103, 123, N/A
123, ul_82, LINE, CN, 103, 124, 293.200
124, tl_247, TRIL, CS, 104, 125, 30
125, tl_248, TRIL, CS, 105, 126, 30
126, switch_24, SWITCH, CN, 106, 127, N/A
127, xfmr_249, XFRMR, CS, 106, 128, N/A
128, ul_79, LINE, CN, 107, 129, 177.400
129, ul_168, LINE, CN, 107, 130, 84.532
130, ol_38, LINE, ABCN, 108, 131, 31.600
131, load_3_ohl, LINE, ABCN, 109, 132, 50ft
132, load_4_CTTF_A_1, XFRMR, AS, 110, 133, N/A
133, load_4_CTTF_B_1, XFRMR, BS, 110, 134, N/A
134, load_4_CTTF_C_1, XFRMR, CS, 110, 135, N/A
135, ol_10, LINE, ABCN, 111, 136, 63.867
136, ol_4, LINE, ABCN, 118, 137, 140.655
137, xfmr_78, XFRMR, AS, 118, 138, N/A
138, xfmr_79, XFRMR, BS, 118, 139, N/A
139, xfmr_80, XFRMR, CS, 118, 140, N/A
140, tl_229, TRIL, CS, 121, 141, 30
141, tl_101, TRIL, CS, 123, 142, 30
142, xfmr_56, XFRMR, CS, 124, 143, N/A
143, ul_254, LINE, CN, 127, 144, 201.437
144, tl_249, TRIL, CS, 128, 145, 30
145, xfmr_55, XFRMR, CS, 129, 146, N/A
146, ul_249, LINE, CN, 130, 147, 123.835
147, ul_250, LINE, CN, 130, 148, 160.524
148, ol_36, LINE, CN, 131, 149, 15.980
149, ol_37, LINE, ABCN, 131, 150, 17.701
150, switch_19, SWITCH, ABCN, 131, 151, N/A
151, load_3_CTTF_A_1, XFRMR, AS, 132, 152, N/A
152, load_3_CTTF_B_1, XFRMR, BS, 132, 153, N/A
153, load_3_CTTF_C_1, XFRMR, CS, 132, 154, N/A
154, ol_92, LINE, ABCN, 136, 155, 108.060
155, switch_6, SWITCH, ABCN, 136, 156, N/A
156, ol_5, LINE, ABCN, 137, 157, 291.567
157, tl_78, TRIL, AS, 138, 158, 30
158, tl_79, TRIL, BS, 139, 159, 30
159, tl_80, TRIL, CS, 140, 160, 30
160, tl_56, TRIL, CS, 143, 161, 30
161, ul_253, LINE, CN, 144, 162, 257.677
162, tl_55, TRIL, CS, 146, 163, 30
163, xfmr_242, XFRMR, CS, 147, 164, N/A
164, ul_251, LINE, CN, 147, 165, 203.426
165, xfmr_243, XFRMR, CS, 148, 166, N/A
166, ol_34, LINE, CN, 149, 167, 69.132
167, ol_35, LINE, ABCN, 150, 168, 138.623
168, fuse_1, FUSE, ABCN, 155, 169, N/A
169, ol_93, LINE, ABCN, 155, 170, 291.397
170, fuse_25, FUSE, CN, 156, 171, N/A
171, ol_9, LINE, ABCN, 156, 172, 206.673
172, ol_6, LINE, ABCN, 157, 173, 291.051
173, xfmr_246, XFRMR, CS, 162, 174, N/A
174, tl_242, TRIL, CS, 164, 175, 30
175, xfmr_244, XFRMR, CS, 165, 176, N/A
176, ul_252, LINE, CN, 165, 177, 258.777
177, tl_243, TRIL, CS, 166, 178, 30
178, ol_33, LINE, CN, 167, 179, 111.159
179, ol_43, LINE, ABCN, 168, 180, 169.281
180, ul_1, LINE, ABCN, 169, 181, 101.400
181, ol_94, LINE, ABCN, 170, 182, 291.697
182, ul_177, LINE, CN, 171, 183, 218.151
183, ol_8, LINE, ABCN, 172, 184, 233.437
184, xfmr_82, XFRMR, AS, 172, 185, N/A
185, xfmr_83, XFRMR, BS, 172, 186, N/A
186, xfmr_84, XFRMR, CS, 172, 187, N/A
187, xfmr_487, XFRMR, ABCN, 173, 188, N/A
188, tl_246, TRIL, CS, 174, 189, 30
189, tl_244, TRIL, CS, 176, 190, 30
190, xfmr_245, XFRMR, CS, 177, 191, N/A
191, ol_32, LINE, CN, 179, 192, 281.016
192, xfmr_113, XFRMR, CS, 179, 193, N/A
193, ol_44, LINE, ABCN, 180, 194, 165.223
194, xfmr_114, XFRMR, AS, 180, 195, N/A
195, xfmr_115, XFRMR, BS, 180, 196, N/A
196, xfmr_116, XFRMR, CS, 180, 197, N/A
197, ul_2, LINE, ABCN, 181, 198, 149.400
198, ul_19, LINE, BN, 181, 199, 100.600
199, ol_95, LINE, ABCN, 182, 200, 311.130
200, xfmr_169, XFRMR, CS, 183, 201, N/A
201, ul_176, LINE, CN, 183, 202, 230.802
202, ol_30, LINE, ABCN, 184, 203, 241.033
203, tl_82, TRIL, AS, 185, 204, 30
204, tl_83, TRIL, BS, 186, 205, 30
205, tl_84, TRIL, CS, 187, 206, 30
206, tl_245, TRIL, CS, 191, 207, 30
207, fuse_11, FUSE, CN, 192, 208, N/A
208, ol_31, LINE, CN, 192, 209, 200.720
209, tl_113, TRIL, CS, 193, 210, 30
210, ol_100, LINE, ABCN, 194, 211, 168.308
211, xfmr_117, XFRMR, AS, 194, 212, N/A
212, xfmr_118, XFRMR, BS, 194, 213, N/A
213, xfmr_119, XFRMR, CS, 194, 214, N/A
214, tl_114, TRIL, AS, 195, 215, 30
215, tl_115, TRIL, BS, 196, 216, 30
216, tl_116, TRIL, CS, 197, 217, 30
217, ul_3, LINE, ABCN, 198, 218, 123.400
218, xfmr_15, XFRMR, BS, 199, 219, N/A
219, ul_20, LINE, BN, 199, 220, 153.200
