\\ Branch Data
\\Index, Label, Type, Phases, From, To, Length (ft)
1, fuse_35, FUSE, ABCN, 1, 2, N/A
2, switch_49, SWITCH, ABCN, 1, 3, N/A
3, switch_55, SWITCH, ABCN, 1, 4, N/A
4, ul_398, LINE, ABCN, 2, 5, 561.767
5, ul_408, LINE, ABCN, 3, 6, 1134.981
6, ul_409, LINE, ABCN, 4, 7, 336.700
7, ul_394, LINE, ABCN, 5, 8, 512.959
8, ul_395, LINE, AN, 5, 9, 11.400
9, ul_396, LINE, ABCN, 5, 10, 63.902
10, ul_542, LINE, ABCN, 5, 11, 481.047
11, ul_400, LINE, ABCN, 6, 12, 1757.798
12, ul_438, LINE, ABCN, 7, 13, 152.980
13, switch_46, SWITCH, AN, 8, 14, N/A
14, ul_391, LINE, ABCN, 8, 15, 216.225
15, ul_392, LINE, BN, 8, 16, 106.500
16, xfmr_336, XFRMR, AS, 9, 17, N/A
17, ul_407, LINE, AN, 9, 18, 350.900
18, switch_47, SWITCH, ABCN, 10, 19, N/A
19, switch_48, SWITCH, ABCN, 10, 20, N/A
20, ul_442, LINE, ABCN, 10, 21, 312.141
21, switch_74, SWITCH, BN, 11, 22, N/A
22, ul_543, LINE, AN, 11, 23, 188.200
23, ul_544, LINE, CN, 11, 24, 63.200
24, ul_545, LINE, ABCN, 11, 25, 297.080
25, switch_80, SWITCH, ABCN, 12, 26, N/A
26, ul_439, LINE, ABCN, 13, 27, 233.187
27, ul_393, LINE, AN, 14, 28, 153.500
28, ul_390, LINE, ABCN, 15, 29, 94.200
29, xfmr_334, XFRMR, BS, 16, 30, N/A
30, tl_336, TRIL, AS, 17, 31, 30
31, xfmr_350, XFRMR, AS, 18, 32, N/A
32, ul_380, LINE, ABCN, 19, 33, 602.500
33, ul_381, LINE, ABCN, 19, 34, 176.048
34, ul_397, LINE, ABCN, 19, 35, 164.834
35, ul_519, LINE, ABCN, 20, 36, 335.200
36, ul_443, LINE, ABCN, 21, 37, 77.501
37, ul_554, LINE, BN, 22, 38, 143.700
38, xfmr_426, XFRMR, AS, 23, 39, N/A
39, xfmr_427, XFRMR, CS, 24, 40, N/A
40, switch_75, SWITCH, ACN, 25, 41, N/A
41, ul_546, LINE, CN, 25, 42, 55.500
42, ul_547, LINE, ABCN, 25, 43, 268.716
43, fuse_41, FUSE, ABCN, 26, 44, N/A
