\\ Node Data
\\Index, Label, Phases, baseV
1, node_83, ABCN, 7200.0
2, node_82, ABCN, 7200.0
3, node_81, CN, 7200.0
4, node_76, ABCN, 7200.0
5, node_80, CN, 7200.0
6, node_66, ABCN, 7200.0
7, node_77, ABCN, 7200.0
8, node_79, CN, 7200.0
9, node_535, ABCN, 7200.0
10, node_65, ABCN, 7200.0
11, tn_102, AS, 120.0
12, tn_103, BS, 120.0
13, tn_104, CS, 120.0
14, node_78, ABCN, 7200.0
15, tn_105, CS, 120.0
16, node_534, ABCN, 7200.0
17, node_69, ABCN, 7200.0
18, tn_95, AS, 120.0
19, tn_96, BS, 120.0
20, tn_97, CS, 120.0
21, node_628, ABCN, 7200.0
22, node_61, ABCN, 7200.0
23, tn_89, AS, 120.0
24, tn_90, BS, 120.0
25, tn_91, CS, 120.0
26, tm_102, AS, 120.0
27, tm_103, BS, 120.0
28, tm_104, CS, 120.0
29, node_85, ABCN, 7200.0
30, tm_105, CS, 120.0
31, node_70, ABCN, 7200.0
32, node_68, ABCN, 7200.0
33, tn_357, AS, 120.0
34, tn_358, BS, 120.0
35, tn_359, CS, 120.0
36, tm_95, AS, 120.0
37, tm_96, BS, 120.0
38, tm_97, CS, 120.0
39, tn_69, AS, 120.0
40, tn_70, BS, 120.0
41, tn_71, CS, 120.0
42, node_63, ABCN, 7200.0
43, node_60, ABCN, 7200.0
44, tm_89, AS, 120.0
45, tm_90, BS, 120.0
46, tm_91, CS, 120.0
47, node_222, CN, 7200.0
48, node_71, ABCN, 7200.0
49, tn_354, AS, 120.0
50, tn_355, BS, 120.0
51, tn_356, CS, 120.0
52, node_236, ACN, 7200.0
53, node_107, ABCN, 7200.0
54, tn_98, AS, 120.0
55, tn_99, BS, 120.0
56, tn_100, CS, 120.0
57, tm_357, AS, 120.0
58, tm_358, BS, 120.0
59, tm_359, CS, 120.0
60, tm_69, AS, 120.0
61, tm_70, BS, 120.0
62, tm_71, CS, 120.0
63, node_62, CN, 7200.0
64, node_59, ABCN, 7200.0
65, node_223, CN, 7200.0
66, node_72, ABCN, 7200.0
67, node_74, CN, 7200.0
68, tm_354, AS, 120.0
69, tm_355, BS, 120.0
70, tm_356, CS, 120.0
71, node_235, ACN, 7200.0
72, node_253, CN, 7200.0
73, node_106, ABCN, 7200.0
74, tm_98, AS, 120.0
75, tm_99, BS, 120.0
76, tm_100, CS, 120.0
77, tn_88, CS, 120.0
78, node_45, ABCN, 7200.0
79, node_58, ABCN, 7200.0
80, tn_225, CS, 120.0
81, node_73, ABCN, 7200.0
