\\ Node Data
\\Index, Label, Phases, baseV
1, node_454, ABCN, 7200.0
2, node_517, ABCN, 7200.0
3, node_518, ABCN, 7200.0
4, node_519, ABCN, 7200.0
5, node_449, ABCN, 7200.0
6, node_455, ABCN, 7200.0
7, node_520, ABCN, 7200.0
8, node_445, ABCN, 7200.0
9, node_450, AN, 7200.0
10, node_451, ABCN, 7200.0
11, node_657, ABCN, 7200.0
12, node_689, ABCN, 7200.0
13, node_521, ABCN, 7200.0
14, node_447, AN, 7200.0
15, node_444, ABCN, 7200.0
16, node_446, BN, 7200.0
17, tn_336, AS, 120.0
18, node_793, AN, 7200.0
19, node_433, ABCN, 7200.0
20, node_453, ABCN, 7200.0
21, node_525, ABCN, 7200.0
22, node_669, BN, 7200.0
23, node_658, AN, 7200.0
24, node_659, CN, 7200.0
25, node_660, ABCN, 7200.0
26, node_685, ABCN, 7200.0
27, node_522, ABCN, 7200.0
28, node_448, AN, 7200.0
29, node_441, ABCN, 7200.0
30, tn_334, BS, 120.0
31, tm_336, AS, 120.0
32, tn_350, AS, 120.0
33, node_429, ABCN, 7200.0
34, node_434, ABCN, 7200.0
35, node_452, ABCN, 7200.0
36, node_630, ABCN, 7200.0
37, node_526, ABCN, 7200.0
38, node_668, BN, 7200.0
39, tn_426, AS, 120.0
40, tn_427, CS, 120.0
41, node_673, ACN, 7200.0
42, node_661, CN, 7200.0
43, node_662, ABCN, 7200.0
44, node_684, ABCN, 7200.0
45, node_723, ABCN, 7200.0
46, node_523, ABCN, 7200.0
47, tn_335, AS, 120.0
48, node_442, CN, 7200.0
49, node_420, ABCN, 7200.0
50, tm_334, BS, 120.0
51, tm_350, AS, 120.0
52, node_426, BCN, 7200.0
53, node_430, ABCN, 7200.0
54, node_432, BCN, 7200.0
55, tn_403, AS, 120.0
56, tn_404, BS, 120.0
57, tn_405, CS, 120.0
58, node_631, ABCN, 7200.0
59, node_435, ABN, 7200.0
60, node_527, BN, 7200.0
61, node_528, CN, 7200.0
62, node_529, ABCN, 7200.0
63, tn_433, BS, 120.0
64, node_667, BN, 7200.0
65, tm_426, AS, 120.0
66, tm_427, CS, 120.0
67, node_672, AN, 7200.0
68, node_676, CN, 7200.0
69, tn_428, CS, 120.0
70, node_742, AN, 7200.0
71, node_663, CN, 7200.0
72, node_665, ABCN, 7200.0
73, node_733, BN, 7200.0
74, node_682, ABCN, 7200.0
75, node_702, CN, 7200.0
76, node_706, AN, 7200.0
77, node_724, ABCN, 7200.0
78, node_722, ABCN, 7200.0
79, node_524, ABCN, 7200.0
80, tm_335, AS, 120.0
81, tn_332, CS, 120.0
82, node_414, ABCN, 7200.0
83, node_421, CN, 7200.0
84, node_422, BCN, 7200.0
85, node_443, BN, 7200.0
86, node_532, ABCN, 7200.0
87, node_533, ABCN, 7200.0
88, tm_403, AS, 120.0
89, tm_404, BS, 120.0
90, tm_405, CS, 120.0
91, tn_406, AS, 120.0
92, tn_407, BS, 120.0
93, tn_408, CS, 120.0
94, node_636, ABCN, 7200.0
95, node_436, AN, 7200.0
96, node_437, BN, 7200.0
97, tn_351, BS, 120.0
98, tn_352, CS, 120.0
99, node_800, ABCN, 7200.0
100, node_530, CN, 7200.0
101, node_531, BCN, 7200.0
102, tm_433, BS, 120.0
103, tn_432, BS, 120.0
104, node_816, BN, 7200.0
105, node_671, AN, 7200.0
106, node_675, CN, 7200.0
107, tm_428, CS, 120.0
108, node_741, AN, 7200.0
109, tn_429, CS, 120.0
110, node_664, BN, 7200.0
111, node_732, BN, 7200.0
112, node_652, ABCN, 7200.0
113, node_683, CN, 7200.0
114, node_686, ABCN, 7200.0
115, tn_460, CS, 120.0
116, node_703, CN, 7200.0
117, node_725, CN, 7200.0
118, tn_464, AS, 120.0
119, node_707, AN, 7200.0
120, node_729, ABCN, 7200.0
121, node_726, BN, 7200.0
122, node_734, AN, 7200.0
123, node_650, ABCN, 7200.0
124, node_632, ABCN, 7200.0
125, tm_332, CS, 120.0
126, node_403, ABCN, 7200.0
127, node_415, CN, 7200.0
128, node_552, ABCN, 7200.0
129, tn_321, CS, 120.0
130, node_423, BN, 7200.0
131, node_424, CN, 7200.0
132, tn_333, BS, 120.0
133, node_801, ABCN, 7200.0
134, tm_406, AS, 120.0
135, tm_407, BS, 120.0
136, tm_408, CS, 120.0
137, node_812, CN, 7200.0
138, node_637, ABCN, 7200.0
139, node_666, ABCN, 7200.0
140, node_438, AN, 7200.0
141, tn_327, BS, 120.0
142, node_440, BN, 7200.0
143, tm_351, BS, 120.0
144, tm_352, CS, 120.0
145, tn_353, CS, 120.0
146, node_791, BN, 7200.0
147, node_792, CN, 7200.0
148, tm_432, BS, 120.0
149, tn_431, BS, 120.0
150, tn_435, AS, 120.0
151, node_817, AN, 7200.0
152, tn_437, CS, 120.0
153, node_818, CN, 7200.0
154, node_746, AN, 7200.0
155, tn_481, AS, 120.0
156, node_740, AN, 7200.0
157, tm_429, CS, 120.0
158, tn_430, BS, 120.0
159, node_822, BN, 7200.0
160, node_615, ABCN, 7200.0
161, node_653, CN, 7200.0
162, node_654, CN, 7200.0
163, tn_442, CS, 120.0
164, tn_443, AS, 120.0
165, tn_444, BS, 120.0
166, tn_445, CS, 120.0
167, node_687, ABCN, 7200.0
168, tm_460, CS, 120.0
169, tn_461, CS, 120.0
170, node_704, CN, 7200.0
171, node_799, CN, 7200.0
172, tn_468, CS, 120.0
173, tm_464, AS, 120.0
174, tn_465, AS, 120.0
175, node_708, AN, 7200.0
176, node_821, BN, 7200.0
177, node_692, ABCN, 7200.0
178, node_730, BN, 7200.0
179, tn_469, BS, 120.0
180, node_727, BN, 7200.0
181, tn_475, AS, 120.0
182, node_735, AN, 7200.0
183, node_815, ABCN, 7200.0
184, node_649, ABCN, 7200.0
185, node_721, ABCN, 7200.0
186, node_811, ABCN, 7200.0
187, node_635, ABCN, 7200.0
188, node_633, ABCN, 7200.0
189, node_514, ABCN, 7200.0
190, tn_317, CS, 120.0
191, node_416, ABCN, 7200.0
192, tm_321, CS, 120.0
193, tn_322, BS, 120.0
194, node_425, BN, 7200.0
195, tn_323, CS, 120.0
196, node_427, CN, 7200.0
197, tm_333, BS, 120.0
198, tn_409, AS, 120.0
199, tn_410, BS, 120.0
200, tn_411, CS, 120.0
201, node_638, ABCN, 7200.0
202, node_681, BN, 7200.0
203, node_670, ABCN, 7200.0
204, tn_328, AS, 120.0
205, node_439, AN, 7200.0
206, tm_327, BS, 120.0
207, tn_330, BS, 120.0
208, node_766, BN, 7200.0
209, tm_353, CS, 120.0
210, tm_431, BS, 120.0
211, tm_435, AS, 120.0
212, tn_434, AS, 120.0
213, tm_437, CS, 120.0
214, tn_436, CS, 120.0
215, node_824, AN, 7200.0
216, tm_481, AS, 120.0
217, node_739, AN, 7200.0
218, tm_430, BS, 120.0
219, tn_474, BS, 120.0
220, node_608, ABCN, 7200.0
221, node_616, CN, 7200.0
222, node_617, CN, 7200.0
223, node_651, ABCN, 7200.0
224, tn_422, CS, 120.0
225, tn_423, CS, 120.0
226, node_655, CN, 7200.0
227, tm_442, CS, 120.0
228, tm_443, AS, 120.0
229, tm_444, BS, 120.0
230, tm_445, CS, 120.0
231, tn_446, AS, 120.0
232, tn_447, BS, 120.0
233, tn_448, CS, 120.0
234, node_688, ABCN, 7200.0
235, tm_461, CS, 120.0
236, tn_462, CS, 120.0
237, node_705, CN, 7200.0
238, tm_468, CS, 120.0
239, tm_465, AS, 120.0
240, tn_466, AS, 120.0
241, node_709, AN, 7200.0
242, node_674, ABCN, 7200.0
243, node_796, CN, 7200.0
244, node_826, ABCN, 7200.0
245, node_700, CN, 7200.0
246, tn_472, BS, 120.0
247, node_731, BN, 7200.0
248, tm_469, BS, 120.0
249, tn_470, BS, 120.0
250, node_728, BN, 7200.0
251, tm_475, AS, 120.0
252, node_736, AN, 7200.0
253, node_743, AN, 7200.0
254, node_648, ABCN, 7200.0
255, node_634, ABCN, 7200.0
256, node_515, BN, 7200.0
257, node_409, ABCN, 7200.0
258, tm_317, CS, 120.0
259, node_417, AN, 7200.0
260, node_419, CN, 7200.0
261, node_431, ABCN, 7200.0
262, node_553, ABCN, 7200.0
263, tm_322, BS, 120.0
264, tn_324, BS, 120.0
265, tm_323, CS, 120.0
266, tn_325, CS, 120.0
267, node_428, CN, 7200.0
268, tm_409, AS, 120.0
269, tm_410, BS, 120.0
270, tm_411, CS, 120.0
271, tn_412, AS, 120.0
272, tn_413, BS, 120.0
273, tn_414, CS, 120.0
274, node_639, ABCN, 7200.0
275, node_680, BN, 7200.0
276, node_696, AN, 7200.0
277, node_831, ABCN, 7200.0
278, tm_328, AS, 120.0
279, tn_329, AS, 120.0
280, tm_330, BS, 120.0
281, tn_331, BS, 120.0
282, tm_434, AS, 120.0
283, tm_436, CS, 120.0
284, tn_485, AS, 120.0
285, tn_480, AS, 120.0
286, node_823, AN, 7200.0
287, tm_474, BS, 120.0
288, node_829, ABCN, 7200.0
289, node_609, CN, 7200.0
290, node_610, AN, 7200.0
291, tn_394, CS, 120.0
292, tn_395, CS, 120.0
293, node_618, CN, 7200.0
294, node_619, ABCN, 7200.0
295, tm_422, CS, 120.0
296, tm_423, CS, 120.0
297, tn_424, CS, 120.0
